resnet18_stage2,0.112
resnet18_stage3,0.217
resnet18_stage4,0.305
resnet50_stage2,0.107
resnet50_stage3,0.169
resnet50_stage4,0.287
sift_absolute,0.181
sift_proportional,0.176
simclr_no_train,0.080
simclr,0.029
clip_transfer_resnet50,0.240
clip_transfer_resnet50x4,0.215
clip_transfer_resnet50x64,0.220
clip_transfer_resnet101,0.251
clip_transfer_vitb16,0.219
clip_transfer_vitb32,0.270
clip_transfer_vitl14_336p,0.251
clip_transfer_vitl14,0.244
clip_transfer_resnet50x16,0.242
simclr_classique_loss1,0.137
simclr_classique_loss2,0.133
simclr_classique_loss1_lr,0.154
simclr_fei_loss1,0.109
simclr_fei_loss2,0.105
simclr_fei_loss1_lr,0.123
simclr_degrad_loss2,0.114
simclr_degrad_loss1_lr,0.136
simclr_degrad_loss1_lr_50,0.136
simclr_moi_2nd_try,0.155
simclr_noise,0.140
simclr_layout,0.142
simclr_texture,0.146
simclr_erased,0.141
simclr_halftone,0.144
simclr_stains,0.140
simclr_degrad_mobilenet,0.130
simclr_classique_800,0.141
simclr_fei_800,0.145
dino,0.189
